,customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_risk_score,churn_risk
1679,0621c2a5979d3e887ae519620cbe2926,263,2,467.70000000000005,1,1,3,5,High
1739,065938485846aa5adc196cb536de42e0,66,2,384.9,3,1,3,7,Medium
1744,065dcef61d5f66b30d2ee51b5343d023,151,2,164.9,2,1,2,5,High
1827,06a52782a04f0086d16b9c22d0e29438,359,3,105.0,1,3,1,5,High
1876,06d26e5230ac619719997a8cf435a69b,25,2,51.5,3,1,1,5,High
1955,0710e0c85fe7cb494d624e0863782e46,40,2,194.3,3,1,2,6,Medium
1968,071bb277b0146da77fac31e70657815e,15,2,99.97999999999999,3,1,1,5,High
1976,071fb07419a29c8ba143831082e0320a,110,2,449.84999999999997,2,1,3,6,Medium
2000,073037acc049d2be44730a7e39836046,132,2,64.98,2,1,1,4,High
2006,07342638d0e0aad32c3cf0efc1a37ba5,215,2,549.78,1,1,3,5,High
2036,0751ebe1c05ef7a632934adae06c6d4a,281,2,152.9,1,1,2,4,High
2049,075c38f7a650b0dc822712c7a58e93d4,193,2,95.8,2,1,1,4,High
2062,076b7055bea51da430d6a6fa054e5075,325,2,87.9,1,1,1,3,High
2138,07abcea6f64399366559afee336a7fd2,56,2,169.85000000000002,3,1,2,6,Medium
2143,07b1b60bca2b6326fa2adb259ea4a55f,31,2,124.5,3,1,1,5,High
2144,07b28cf1d8515d08ccca505e273fffaf,402,2,603.89,1,1,3,5,High
2154,07bd3d18ecba2420a8934b34a26f157a,11,2,165.67000000000002,3,1,2,6,Medium
2220,07f61caa1c9e850c14e94854cec87545,268,2,80.8,1,1,1,3,High
2225,07f765655f560c8624267665ce23675a,13,2,469.99,3,1,3,7,Medium
2237,0802a1a217680f13264a70ddb7220823,437,2,157.0,1,1,2,4,High
2298,083ca1aa470c280236380973a48f77c6,257,3,136.88,1,3,2,6,Medium
2402,0895c61a77b305efdfad13596c749c60,19,2,890.0,3,1,3,7,Medium
2412,089bc915af34d9041b3a88a1aa84292b,106,2,93.15,2,1,1,4,High
2447,08c07c761592a71b85136aa4fe76a6f4,24,3,348.0,3,3,3,9,Low
2516,08f7cf00ed9ff3e0a08fc136ec272974,241,2,274.59000000000003,1,1,3,5,High
2602,0942eedfe0e865b2a80419a14672286f,99,2,199.8,2,1,2,5,High
2645,096e351116755fe4c3c1e48eaf301a41,349,2,195.8,1,1,2,4,High
2667,0981a271500799427cdf345e9121e20b,378,2,129.98,1,1,2,4,High
2669,09831ff6ab667f42521bcd4c22dc755c,36,2,267.29999999999995,3,1,3,7,Medium
2685,0994750c9c22a140010ed86aad2d044b,63,2,142.22,3,1,2,6,Medium
2713,09ab36a420b5c87c5c9772bdb494f2e3,65,2,167.4,3,1,2,6,Medium
2729,09bc7afc3e8d8dccaffd0b16944a91fe,272,2,539.7,1,1,3,5,High
2756,09d74edf20acb4f9523fb1cf19a18456,56,2,275.42,3,1,3,7,Medium
2757,09d7c538023c2c4fb0553c831c12f084,343,2,633.99,1,1,3,5,High
2911,0a5df23b922b9998bb7378f1ac03c98a,213,2,169.98000000000002,1,1,2,4,High
2916,0a5fab743da859b3f10a409bbb132a5a,75,2,19.99,3,1,1,5,High
2918,0a609db8d244100909a15d65eadf8539,194,3,437.88,2,3,3,8,Low
2920,0a61b571f594b6919601bcf3380da7f7,108,3,435.78999999999996,2,3,3,8,Low
2993,0aa1ab39ff2b837c05d7c9ff85b6d983,50,2,158.4,3,1,2,6,Medium
3009,0aadc1d26d1c8b88a52c39a533ccea93,153,2,1097.96,2,1,3,6,Medium
3026,0abee71cd257861a0944e2a81cea4a50,155,2,359.6,2,1,3,6,Medium
3028,0ac10a57d07e3d38b11f66283c44672b,332,2,179.89000000000001,1,1,2,4,High
3081,0af334fc660bfc9c75109752cc8271d7,379,2,430.0,1,1,3,5,High
3124,0b18593e033697810a62a987e77f4b8c,48,3,139.7,3,3,2,8,Low
3166,0b3cf8a9362deaf8b870d49ae61f3ca1,253,2,189.34,1,1,2,4,High
3167,0b3dc7efaafb0cf78a4796d42fa8d74c,276,2,588.9,1,1,3,5,High
3171,0b402d6dd50694a118c642448e2cb086,155,2,179.98000000000002,2,1,2,5,High
3220,0b6d4f036c07e10854affe43fc4e718c,39,2,188.14000000000001,3,1,2,6,Medium
3251,0b8ed32525608a907c7331b613b5b67e,151,2,75.84,2,1,1,4,High
3307,0bc9c245cd69735af23eefdd89d74e7e,229,2,179.9,1,1,2,4,High
3323,0bdb6ad22574bad5202df1e92a9aa403,74,2,144.98,3,1,2,6,Medium
3334,0be7af6c16fbca7eff244788f89146a3,35,2,252.9,3,1,2,6,Medium
3348,0bf1278577a2acf8532a031d98cd517c,137,2,248.05,2,1,2,5,High
3374,0c10e674d1504f959a7f2e504148c296,5,2,118.8,3,1,1,5,High
3431,0c4c416f1f9844e6805b074f8f96f52c,261,2,143.98,1,1,2,4,High
3487,0c8286526be3a0fc8f50b7267db95035,31,2,274.5,3,1,3,7,Medium
3493,0c8ac932c65f67489929f9164a86606d,193,2,271.9,2,1,3,6,Medium
3510,0c9abfaffa0ae7587cebfdf0d680e3b7,82,2,50.0,3,1,1,5,High
3545,0cbcf91ef2dd6dfcce9ee63c8772dc97,258,2,171.95,1,1,2,4,High
3555,0cc2ee1112a11a1094eff52fa2e87150,209,3,759.8,1,3,3,7,Medium
3595,0cf46588cd3f5a23002166b5a1945820,193,2,239.8,2,1,2,5,High
3603,0cfd915db480acd7d9a954409cabfb1c,250,2,86.80000000000001,1,1,1,3,High
3683,0d4644eff058d75937ca1eec574bf87d,151,2,194.89,2,1,2,5,High
3708,0d52f8cd8892f109a15803df169113b6,78,2,143.8,3,1,2,6,Medium
3716,0d57344e9e4e9d16dc699cb417e50cb0,160,2,229.5,2,1,2,5,High
3741,0d7241c7fb49c1be6e75c9fe99e0822c,0,2,192.79999999999998,3,1,2,6,Medium
3780,0d997d092f93b5c58d0f9b4bd0643d16,150,2,114.80000000000001,2,1,1,4,High
3845,0dd933d1e0253343083013791bf5d5e9,157,2,162.9,2,1,2,5,High
3850,0ddba04798f1c085d0ca93af0e91f6c1,75,2,142.8,3,1,2,6,Medium
3871,0df55f5accedda71bda8f4c7f590951f,75,2,414.8,3,1,3,7,Medium
3888,0e06af8004ffd01a3461e768f9f659aa,162,2,428.0,2,1,3,6,Medium
3932,0e37a80826485260170d428b06df0ab6,230,2,279.89,1,1,3,5,High
3938,0e3c753956e35026b965d9ac3590c5af,265,2,275.35,1,1,3,5,High
3958,0e4cb268bd62da7db135af6349b4fc2a,157,3,157.99,2,3,2,7,Medium
3995,0e730550dfc5d7f1cea73484bb2e0249,55,2,158.9,3,1,2,6,Medium
4001,0e78a1b66adee5bb3a6f014714f79cf4,25,2,440.79999999999995,3,1,3,7,Medium
4015,0e850ed5adc4abe0346435eda5b1a626,18,2,28.6,3,1,1,5,High
4048,0ea353565cdde00e1d8352a08290a352,248,2,234.8,1,1,2,4,High
4098,0ecc403ec5d6ce000fd84f00cd5efb0a,151,2,288.0,2,1,3,6,Medium
4103,0ecf7f65b5ff3b9e61b637e59f495e0a,567,2,126.69,1,1,1,3,High
4121,0ee1969ea903c6be704958e2300068b2,258,2,25.700000000000003,1,1,1,3,High
4172,0f0b49d45120fcb28bda56e94bc85673,82,2,780.0,3,1,3,7,Medium
4176,0f0e48a91c9c285404572b095bcb373c,284,2,158.89000000000001,1,1,2,4,High
4179,0f10d99ee99ca3d0489f2f2169b41ec3,60,2,173.0,3,1,2,6,Medium
4188,0f187f58097c5431d5244e1fe1383884,113,2,112.68,2,1,1,4,High
4226,0f38a44168ec569a3f783ebf98d79095,159,2,87.99000000000001,2,1,1,4,High
4262,0f5ac8d5c31de21d2f25e24be15bbffb,154,2,1252.35,2,1,3,6,Medium
4274,0f6371fc9c2e78818a6e7aa33022a506,93,2,125.99,2,1,1,4,High
4276,0f64cafdb3e1e4806c99ff165305e27f,28,2,173.89000000000001,3,1,2,6,Medium
4333,0f9349a9da479b7e02c4cb4a0c73fb47,78,2,52.16,3,1,1,5,High
4423,0fd39b61ec94864f92e18e5d7144bc6c,35,2,274.0,3,1,3,7,Medium
4424,0fd475edfa0b61c59ecde6f89c21dedb,124,2,219.6,2,1,2,5,High
4464,0ffc908947e1f0c9f17647058b9a58c2,302,2,419.99,1,1,3,5,High
4492,100f480d33281b45b97c07395968e56c,218,2,139.8,1,1,2,4,High
4502,1015173479527a15ccb63606a74f404e,237,2,331.78999999999996,1,1,3,5,High
4641,10867a902e32dd54061b2cda9c55b0b6,63,2,219.31,3,1,2,6,Medium
4675,10a4b9f45f67e6bc9ca4032b9203272c,66,2,111.3,3,1,1,5,High
4694,10b58cbd6607267fd41812614367439e,113,2,289.85,2,1,3,6,Medium
4706,10bf8afdd66da75c386fbacf04c85710,38,2,389.70000000000005,3,1,3,7,Medium
4787,110991b379efbcebb0d35cbd20bf9698,21,2,73.7,3,1,1,5,High
4807,1118a7bb7ba893f10740e22a23aa5bd9,104,2,59.21,2,1,1,4,High
4809,1118bbd6c82a824ebc677b12e525864f,184,2,479.79999999999995,2,1,3,6,Medium
4835,11395124061744bf276aefd8073f3105,204,2,91.9,2,1,1,4,High
4909,1175e95fb47ddff9de6b2b06188f7e0d,102,2,54.989999999999995,2,1,1,4,High
4933,118be57d1b7de439453a0c6625ad7934,254,2,54.8,1,1,1,3,High
4945,1197ba886110324a1519fff17dd8d1d2,252,2,74.8,1,1,1,3,High
4979,11b47516f8f6a42105b9807903ede333,69,2,187.63,3,1,2,6,Medium
5037,11ebea68a1046fa3268cb278df2c4f31,139,2,217.9,2,1,2,5,High
5077,120a6e1875940fe48a44d6cf30706230,162,2,458.0,2,1,3,6,Medium
5091,121b5a0ae9d09a2ca5e8090fd2a00a58,373,2,116.9,1,1,1,3,High
5098,1225c9614c5129a3085416d30d50e143,54,2,360.0,3,1,3,7,Medium
5115,12328d63390726821fdcd8e8b77f10b5,153,2,129.8,2,1,2,5,High
5140,124bc956b56b1523d2a75b29a856085d,28,2,197.39999999999998,3,1,2,6,Medium
5149,125740359669fa63858476105a5d523d,280,2,449.70000000000005,1,1,3,5,High
5216,1291474366a550ebc251d9187e763d62,302,2,135.85000000000002,1,1,2,4,High
5236,12ab9334b1240d6d037f2b0102a49571,138,2,1233.92,2,1,3,6,Medium
5248,12b62a8d3c4911b9a80b935037842fc0,174,2,188.99,2,1,2,5,High
5270,12c54f6dfd4b723a6c76c4c989494422,221,2,269.8,1,1,3,5,High
5295,12d8b5ed661190a3a08183644dfc504d,48,3,588.04,3,3,3,9,Low
5327,12f5d6e1cbf93dafd9dcc19095df0b3d,480,6,58.400000000000006,1,3,1,5,High
5361,131b8a51429529f4e57e8faa1b87ff4f,388,2,124.0,1,1,1,3,High
5402,133e20311ec257bda38f1798250d38c5,357,2,659.8,1,1,3,5,High
5439,13607978e0686d841deb64954c023495,116,2,66.97999999999999,2,1,1,4,High
5441,13613cae6e3bfea8327a916246c96cc9,126,2,93.89,2,1,1,4,High
5457,1372bab98f9966bcd4a6fa3e6df6dde8,105,2,219.8,2,1,2,5,High
5460,1373e04979cfa0fb2092909abbd57f25,26,2,419.8,3,1,3,7,Medium
5524,13abc50b97af7425b5066e405d7cd760,358,2,94.9,1,1,1,3,High
5525,13ac6da47fef1b17b16f511e03b57918,130,2,86.9,2,1,1,4,High
5527,13aec51202205c662b24202760e93a92,453,2,64.9,1,1,1,3,High
5637,1412559410af5e92c35e053fd6acd006,90,2,174.4,3,1,2,6,Medium
5664,142575266950512b56af193f3962270a,72,2,196.9,3,1,2,6,Medium
5769,1477c54a1abe3610e3e9ab411801cecb,198,2,229.8,2,1,2,5,High
5783,14843983d4a159080f6afe4b7f346e7c,59,2,47.599999999999994,3,1,1,5,High
5820,149c19901ddcd1057deaabc003004a12,245,2,359.97,1,1,3,5,High
5828,14a188558af6cd5bc222ca773d395a7f,54,2,202.9,3,1,2,6,Medium
5885,14d46ad43ae7e3cd6944258b9840373b,409,2,172.3,1,1,2,4,High
5936,1501fb94311512e6b98462d159e05a23,14,2,478.77,3,1,3,7,Medium
5945,1506abf10c09a2872e24d79f33e4eb12,25,2,448.99,3,1,3,7,Medium
6041,155af62b6c947689a67af5c16acd5c55,75,2,419.8,3,1,3,7,Medium
6086,1581a918a58a11d99c69f86d9c0d2098,18,2,163.7,3,1,2,6,Medium
6108,158ff08f9b1aeebfa96820580f3877a6,89,2,259.70000000000005,3,1,3,7,Medium
6110,1590457b4be348b165ff7030a6f94dce,299,2,158.9,1,1,2,4,High
6112,159306b86e782097be9a4e29e3d294d3,101,2,125.97999999999999,2,1,1,4,High
6127,15a38a0c1bf789e06ec42d24e485e794,106,2,185.7,2,1,2,5,High
6181,15d2493aa522c1040d639aa74bd1fb31,41,2,258.0,3,1,3,7,Medium
6209,15eb6c5aa4aa23cbdb42e119220d23ec,193,2,391.0,2,1,3,6,Medium
6243,1605a6c5d93d3488fb621c5323930795,405,2,492.7,1,1,3,5,High
6263,161b2eb506dd664bb5d23dc701a14b59,285,2,258.9,1,1,3,5,High
6300,1647c6dc2941bd075dc5dd3448807bed,253,2,194.0,1,1,2,4,High
6304,164ba50c15bd1157975375a75bbde58e,344,2,64.9,1,1,1,3,High
6310,1650819cd492bbf4b9d189c7d4126475,101,2,267.9,2,1,3,6,Medium
6326,165d93a9d1da194b47da42c9cf810ebd,239,2,577.74,1,1,3,5,High
6394,16a23480d3c92eb40e134844d52aa63e,7,2,104.9,3,1,1,5,High
6404,16a909e83380bb2ae4676ca69ac30886,56,2,209.8,3,1,2,6,Medium
6431,16bd767d18bf82bb09fc51520f7ea5ab,147,2,113.98,2,1,1,4,High
6447,16c8e42089546fde55ed3caa46478e7a,31,2,128.0,3,1,1,5,High
6553,1741b0bef7ccbc530ba7287000d5f49f,9,2,294.8,3,1,3,7,Medium
6584,175b8225bdd99e95a64e07a6c06e8746,94,2,394.79999999999995,2,1,3,6,Medium
6617,1772d62f5099be6942fbb3d3e881cc7c,4,2,174.8,3,1,2,6,Medium
6628,177c725937ae5f96171bb8b43f196dfa,367,2,167.8,1,1,2,4,High
6641,178a58ded2b9be43b90300e0e0e8e66c,171,2,130.9,2,1,2,5,High
6662,179f496c6c02a7640d09f0843452e0fc,157,2,188.99,2,1,2,5,High
6665,17a2d93cb1aab45e3d21d5eba7daaed2,133,2,347.5,2,1,3,6,Medium
6700,17c7da60a0690728119612a54035452d,110,2,198.0,2,1,2,5,High
6727,17dcb8c62667824b3e3755a5b680ebc6,157,2,288.0,2,1,3,6,Medium
6734,17e873c00e3fef97c9f1347c6681bd1a,219,2,659.8,1,1,3,5,High
6763,1803287d1e7138aec6ea9d3c963ed87d,233,2,113.97999999999999,1,1,1,3,High
6859,186e4b97d2704e8b76235b8d7c5d38ab,319,2,105.89000000000001,1,1,1,3,High
6871,18753de7f8b65856d23473280e71ceb2,25,2,283.8,3,1,3,7,Medium
6924,18a65d67bb184e736656cc017f09f7b8,17,3,179.07,3,3,2,8,Low
6988,18d61a27f478cd6201df948578f814f9,6,2,159.8,3,1,2,6,Medium
6999,18e1192f2a6be73c4365dbc29eb7a6f7,75,2,139.98,3,1,2,6,Medium
7003,18e3d276253780b44b5b7bf83f6785ec,153,3,131.70000000000002,2,3,2,7,Medium
7009,18f17efd50fd7e9595cc1a40205c937c,241,2,133.5,1,1,2,4,High
7058,191e0f453bea7f50ce1fcd514af38835,169,2,78.19,2,1,1,4,High
7107,194be31520cde5c527bad17720119e85,259,2,234.70000000000002,1,1,2,4,High
7168,198ba72088fecd3caeaf2dca0addcfb9,80,2,278.0,3,1,3,7,Medium
7217,19be5923f7d998e76b9f3b1eb87c32af,101,2,143.4,2,1,2,5,High
7218,19bedfc18c92d4e7eb6ba318a6c2033c,23,2,1009.79,3,1,3,7,Medium
7228,19c60787f1a478ec7345d03bc4298398,158,2,618.0,2,1,3,6,Medium
7236,19cb65cc7310ae4eef4f15bb70539d01,56,2,106.0,3,1,1,5,High
7251,19da55454167240f3a4a39430007d074,218,2,221.99,1,1,2,4,High
7255,19de4cc79e2c2986e70b155b7631f61c,3,2,164.0,3,1,2,6,Medium
7279,19f735a9a58a187253055f9d4bcc2bb6,17,2,92.0,3,1,1,5,High
7281,19f8fcd23ed70e29220a6a2f13ecd911,148,2,184.89000000000001,2,1,2,5,High
7314,1a15eecd72a08e1134ba406c7a7998e6,315,2,378.47999999999996,1,1,3,5,High
7335,1a24445f0e6006e4336ecba4ba576e4b,107,2,111.7,2,1,1,4,High
7340,1a29e9f39d667f12684910a8edc4b56c,75,2,339.8,3,1,3,7,Medium
7353,1a328a664417dc7cbff0ed7df49f5a3d,11,2,210.43,3,1,2,6,Medium
7412,1a674d0bad43d5b5c387fce838e4c428,178,2,0.0,2,1,1,4,High
7415,1a68c22c23a52a35f499dbd3c5a020a6,239,2,199.9,1,1,2,4,High
7547,1ae30e98d81bdf991fa25b52b8142308,301,2,176.97,1,1,2,4,High
7562,1af3dcbc89998031651925e3994eab18,29,2,91.99000000000001,3,1,1,5,High
7612,1b270bd97f6e1d9af2d5d06f0d4a80e8,63,2,179.9,3,1,2,6,Medium
7619,1b2db8ab2d8e7b84b5455736fc9713f2,347,2,114.69,1,1,1,3,High
7658,1b5720c7b0ee7183c2eafe3dba65111b,157,2,48.89,2,1,1,4,High
7678,1b6c7548a2a1f9037c1fd3ddfed95f33,75,7,809.21,3,3,3,9,Low
7683,1b6e96ed99cb8d135efe220d761bbd67,106,2,34.89,2,1,1,4,High
7692,1b765716e166ca699d20c4adc8bb0f7c,393,2,174.99,1,1,2,4,High
7695,1b7733821d1e0ec8907bbb441271f80b,206,2,120.80000000000001,2,1,1,4,High
7727,1b95e3fe033836c787689ae4b9516aa3,352,2,372.79999999999995,1,1,3,5,High
7739,1b9d0a0c0fd5211ae01a554419120554,21,2,67.5,3,1,1,5,High
7748,1ba713c8258f756279a049018ce01177,109,2,347.7,2,1,3,6,Medium
7771,1bbf6de8bbe287cb474e57d437d72969,208,2,315.70000000000005,2,1,3,6,Medium
7925,1c4531b533d17f3b316de441268e513c,217,2,66.2,1,1,1,3,High
7938,1c553721323d2cf153d114724b92118e,25,2,171.8,3,1,2,6,Medium
8009,1c98969880c8c7c522bc4677dfce9384,39,2,160.98000000000002,3,1,2,6,Medium
8022,1ca845c3b11ba93c4ac5182ab9c1197e,25,2,398.0,3,1,3,7,Medium
8050,1cc48564488184883cc7923b82c7b3f9,283,2,215.94,1,1,2,4,High
8078,1ce1097b476f97ea37d805251c5c74ba,111,2,311.8,2,1,3,6,Medium
8159,1d2435aa3b858d45c707c9fc25e18779,468,2,114.80000000000001,1,1,1,3,High
8240,1d627d8a6e1e33ea8eeeb7a17d998660,240,2,220.8,1,1,2,4,High
8259,1d72aaec15863f7532b2dbf4a5c4247d,242,2,449.9,1,1,3,5,High
8301,1d95a47c2206919e1de2f8ff91065d20,430,2,79.8,1,1,1,3,High
8314,1da09dd64e235e7c2f29a4faff33535c,109,3,1980.28,2,3,3,8,Low
8434,1e05761e47e6a4968ac2ee128b0d42a4,89,2,224.0,3,1,2,6,Medium
8503,1e433d2aca7584032f8f56d51643e605,144,2,160.9,2,1,2,5,High
8540,1e6dc17adde78e52b6fa5e634f4454e0,299,2,194.8,1,1,2,4,High
8651,1ed1f7f1679bee0089061c9db1bd783a,273,2,86.0,1,1,1,3,High
8735,1f2c5059dad2c277b3b338163b49ca73,72,2,227.97,3,1,2,6,Medium
8851,1f90117a847636892e3c5bf569f2ac68,107,2,109.80000000000001,2,1,1,4,High
8859,1f9756abd497b76eeccb492bfe91df35,2,2,378.9,3,1,3,7,Medium
8860,1f98e3467d2b48dfb44fc12b137d3447,114,2,382.5,2,1,3,6,Medium
8888,1fbd81e4d0a0cf9125ca038b43533b7f,74,3,149.8,3,3,2,8,Low
8918,1fe11e8f0fa5bea7416ec09d6e8d2b4d,434,2,294.8,1,1,3,5,High
8931,1fea3244d38e951f0196b2728aee3bdf,60,2,193.8,3,1,2,6,Medium
8945,20001d07954025179c613496803181a6,136,2,228.9,2,1,2,5,High
8960,200d8b1f16d0cc9600022fdc99987a7f,76,2,142.8,3,1,2,6,Medium
8986,20282afdbe6cf22d5f5a956d8b5a3f78,90,2,146.99,3,1,2,6,Medium
9030,204fa49efb5913a76287284d6e096f69,258,2,88.85,1,1,1,3,High
9091,208ed8bf578938c97d49b3429358a424,85,2,164.89000000000001,3,1,2,6,Medium
9115,209e5691e2cda59cd71e45417d7f95a2,112,2,176.8,2,1,2,5,High
9282,212de5904c4fe864c3a66f26d3043d97,228,2,212.99,1,1,2,4,High
9306,21421ba1bd92005a3b48e6a745e9b8bb,88,2,488.94,3,1,3,7,Medium
9333,21560f93adbd9ada040a40909ac8619d,165,2,368.63,2,1,3,6,Medium
9361,216fd197a786370ce9601ee2f6b5a31a,447,2,41.8,1,1,1,3,High
9420,21a2d9dc71459dbd3dad219cb9681964,70,2,538.99,3,1,3,7,Medium
9453,21bde4e982c4681021edabb899bcebfe,134,2,1160.9,2,1,3,6,Medium
9460,21c3cb2e65b7575d9e079f7be7987d3c,194,2,92.0,2,1,1,4,High
9465,21c8aa0cb27943cbf33d75985e28da67,183,2,173.47,2,1,2,5,High
9477,21d3f0a4bf0cccf65dcfe93b8325d250,343,2,117.0,1,1,1,3,High
9504,21effa61d72771ba8315ab56ce7fb7ac,109,2,89.99000000000001,2,1,1,4,High
9538,220bcdd6ae284ed1a273d99003fa8a0e,29,2,79.97,3,1,1,5,High
9553,221ae88140600106a982acb69a0add50,48,2,419.0,3,1,3,7,Medium
9639,2271b98c96ef2dbe4241cbbde7c8c12b,141,2,237.69,2,1,2,5,High
9661,2280ecb8db2591c39d1c7d3e9caa115c,246,2,85.89,1,1,1,3,High
9789,22f6af8201369f9eb96592db3142b9c2,75,2,531.04,3,1,3,7,Medium
9808,230b7f6050862e4d39911debaa3088ef,3,2,159.98,3,1,2,6,Medium
9837,232007f7d8c26eb8d7daaacb46501783,115,2,169.8,2,1,2,5,High
9876,233c8f191c45cef30af148a82ac70020,311,2,150.0,1,1,2,4,High
9898,23539ab2fa3d6e255f96114be5d2dbd3,79,2,278.9,3,1,3,7,Medium
10008,23b2d37ef78f3c8dcb31f5eefc30190a,68,2,32.0,3,1,1,5,High
10020,23c536b39a65168e3e34354b80b4ecf2,107,2,49.0,2,1,1,4,High
10042,23dc3a062c6c097bcb3940a909e7730f,385,2,64.8,1,1,1,3,High
10098,2410195f6521688005612363835a2671,236,2,139.9,1,1,2,4,High
10100,24115a0c9fc9115c586e54fd5f42e8d1,112,2,155.49,2,1,2,5,High
10118,24259224caf748993c177ebf964c2e6e,105,2,186.88,2,1,2,5,High
10139,24391449252cf6db04ce271b2a208d83,13,2,319.84000000000003,3,1,3,7,Medium
10208,247e0dcd20596bee51bd2b07f633fa04,107,2,114.6,2,1,1,4,High
10301,24cad6db9c734bd4f0edc6a314735880,233,2,151.8,1,1,2,4,High
10311,24d27f115e367d9129a0e7a7a5d36866,166,2,718.69,2,1,3,6,Medium
10317,24d9e83fe11e4390b69e1afb2b93f5ee,115,2,317.77,2,1,3,6,Medium
10351,24fb2954f8c6cdb4b900ed8db6dc88e2,156,2,163.79,2,1,2,5,High
10353,24fc2d6f4c3339820a1a3746a125f8c5,159,2,569.55,2,1,3,6,Medium
10376,2516f43838c4892e066fec28143efa64,78,2,754.0,3,1,3,7,Medium
10381,251e658613a224723f8a077946183b20,162,2,334.9,2,1,3,6,Medium
10456,255ac312f5ceb97163ec60f0db2eee11,146,2,303.47,2,1,3,6,Medium
10472,256b3e7a939dddf3e40608cac69e88c7,376,2,143.26,1,1,2,4,High
10492,257a0a891aa05c945617ad8f097645bd,114,2,367.8,2,1,3,6,Medium
10531,25a560b9a6006157838aab1bdbd68624,386,4,67.6,1,3,1,5,High
10553,25bd804c580bc1ee0c93d073fae09a84,130,2,98.1,2,1,1,4,High
